Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.011,0.39,14,34749,262379400238.00,0.09,4411.00,93,0.002,0.9,,84,77,1.7,0.164,0.659,0.177,0.837,Europe,Finland
0.013,0.65,7,252827,2782210861683.00,0.12,4968.00,132,0.004,0.8,,86,79,0.9,0.183,0.646,0.171,0.786,Europe,France
0.008,0.46,15,311770,3628110015053.00,0.11,4996.00,221,0.003,0.8,,83,78,1.1,0.133,0.657,0.21,0.745,Europe,Germany
0.01,0.46,11,26723,289886951188.00,0.09,2304.00,224,0.004,0.5,,84,78,1.1,0.146,0.663,0.192,0.766,Europe,Greece
0.009,0.52,4,24964,137452115093.00,0.08,1096.00,277,0.006,0.7,0.083,79,71,1.2,0.146,0.685,0.169,0.693,Europe,Hungary
0.014,0.30,5,5731,14042801904.00,0.09,4051.00,140,0.002,0.9,0.077,84,81,1.1,0.208,0.669,0.123,0.937,Europe,Iceland
0.016,0.25,13,13216,226035376257.00,0.09,4306.00,76,0.003,0.7,,83,79,1.1,0.215,0.67,0.115,0.621,Europe,Ireland
,,,,,,,,,,,,,,,,,0.52,Europe,Isle of Man
0.009,0.68,6,167416,2196336800620.00,0.09,3339.00,285,0.003,0.5,0.046,85,80,1.6,0.14,0.654,0.205,0.684,Europe,Italy
0.018,0.15,58,2528,6630214452.00,,,164,,,0.139,72,68,,,,,,Europe,Kosovo
0.009,0.37,16,4371,28480338368.00,0.06,826.00,290,0.008,0.7,0.064,79,69,1.1,0.143,0.672,0.185,0.676,Europe,Latvia
0.011,,,,,,,,,0.9,,84,80,1,,,,0.144,Europe,Liechtenstein
0.011,0.43,22,7287,43083067994.00,0.07,887.00,175,0.005,0.6,,79,68,1.6,0.151,0.693,0.155,0.667,Europe,Lithuania
0.011,0.20,19,4171,58009863403.00,0.07,7751.00,59,0.002,0.9,,84,79,1.5,0.175,0.685,0.14,0.889,Europe,Luxembourg
0.011,0.08,3,3122,10395222334.00,0.07,344.00,119,0.008,0.6,0.089,77,73,1.1,0.171,0.71,0.118,0.57,Europe,"Macedonia, FYR"
0.01,0.41,40,857,9302057270.00,0.09,1900.00,139,0.005,0.7,0.047,83,79,1.2,0.153,0.697,0.15,0.948,Europe,Malta
0.012,0.31,9,3331,7016162818.00,0.11,224.00,228,0.014,0.4,0.144,73,65,0.9,0.165,0.723,0.112,0.449,Europe,Moldova
,,,,6074506533.00,0.04,7180.00,,0.003,0.8,,,,0.9,,,,1,Europe,Monaco
0.012,0.21,10,1179,4501753898.00,0.07,522.00,372,0.006,0.4,0.097,77,72,1.9,0.193,0.682,0.126,0.633,Europe,Montenegro
0.011,0.40,8,77419,832755438977.00,0.12,5997.00,127,0.004,0.9,0.02,83,79,1.2,0.173,0.667,0.159,0.878,Europe,Netherlands
0.012,0.41,7,28137,490806911071.00,0.10,9908.00,87,0.003,0.9,,84,79,1.2,0.187,0.661,0.152,0.794,Europe,Norway
0.01,0.40,32,101313,515771297421.00,0.07,915.00,296,0.005,0.6,,81,73,1.3,0.149,0.713,0.137,0.608,Europe,Poland
0.009,0.43,4,23084,237888302256.00,0.10,2302.00,275,0.003,0.6,,84,77,1.2,0.15,0.667,0.182,0.612,Europe,Portugal
0.01,0.43,14,35830,182610666616.00,0.06,480.00,222,0.012,0.4,0.121,78,71,1.1,0.15,0.701,0.149,0.54,Europe,Romania
0.013,0.47,29,730970,1904793021649.00,0.06,803.00,290,0.01,0.5,0.085,76,64,1.4,0.151,0.718,0.13,0.737,Europe,Russian Federation
0.01,,,,,0.06,3553.00,,0.003,0.5,0.059,86,80,1.1,,,,0.941,Europe,San Marino
0.009,0.34,13,16185,43749934551.00,0.10,622.00,279,0.006,0.4,0.172,77,72,1.3,0.167,0.695,0.138,0.553,Europe,Serbia
0.011,0.48,18,17349,95877536836.00,0.08,1415.00,231,0.007,0.7,,80,72,1.1,0.15,0.725,0.125,0.544,Europe,Slovak Republic
0.011,0.34,6,7249,50250147802.00,0.09,2171.00,260,0.003,0.7,,83,77,1.1,0.141,0.691,0.169,0.499,Europe,Slovenia
0.01,0.39,28,125570,1454534452554.00,0.09,2978.00,187,0.004,0.7,,86,80,1.1,0.151,0.677,0.173,0.787,Europe,Spain
